  NUM       CLASSE     COMBUS  CUSTO1  CUSTO2  CUSTO3  CUSTO4  CUSTO5  CUSTO6  CUSTO7  CUSTO8  CUSTO9  CUST10  CUST11  CUST12  CUST13  CUST14  CUST15  CUST16
 XXXX XXXXXXXXXXXX XXXXXXXXXX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX
    1      ANGRA 1    NUCLEAR   31.17   31.17   31.17   31.17   31.17   31.17   31.17   31.17   31.17   31.17   31.17   31.17   31.17   31.17   31.17   31.17
    4   ST.CRUZ 34       OLEO  310.41  369.49  413.89  448.06  473.96  497.56  508.83  523.82  531.23  546.74  553.47  562.33  567.92  572.31  577.28  577.28
    9   R.SILVEIRA     DIESEL  978.10  919.25  940.29  942.97  936.05  917.01  932.21  952.90  962.52  980.60  985.60  999.62 1007.61 1015.88 1022.22 1022.22
   12  CUIABA G CC        GAS  675.63  770.73  767.38  763.29  772.35  783.18  790.04  801.15  810.64  817.06  820.36  827.22  832.46  835.93  837.82  837.82
   13      ANGRA 2    NUCLEAR   20.12   20.12   20.12   20.12   20.12   20.12   20.12   20.12   20.12   20.12   20.12   20.12   20.12   20.12   20.12   20.12
   15     LINHARES        GAS  326.10  339.09  314.83  295.03  303.19  314.00  320.01  333.87  345.84  351.38  352.89  359.60  366.27  369.37  371.00  371.00
   21   MARANHAO V        GAS  197.03  204.40  190.63  179.40  184.03  190.16  193.57  201.44  208.23  211.37  212.23  216.04  219.82  221.58  222.51  222.51
   24  J.LACERDA C     CARVAO  206.84  237.31  231.82  230.45  227.66  226.44  225.56  223.81  223.92  223.03  223.29  222.38  221.89  221.86  221.28  221.28
   25  J.LACERDA B     CARVAO  244.14  280.10  273.62  272.01  268.72  267.27  266.24  264.17  264.30  263.25  263.56  262.48  261.90  261.87  261.18  261.18
   26 J.LACERDA A1     CARVAO  270.48  310.32  303.14  301.36  297.71  296.11  294.96  292.67  292.81  291.65  292.00  290.80  290.16  290.13  289.36  289.36
