  NUM         NOME   SSIS     EX CLASSE
 XXXX XXXXXXXXXXXX   XXXX     XX   XXXX
    1      ANGRA 1      1     EX      1
    4   ST.CRUZ 34      1     EE      4
    9   R.SILVEIRA      1     EE      9
   12  CUIABA G CC      1     EE     12
   13      ANGRA 2      1     EX     13
   15     LINHARES      1     EE     15
   21   MARANHAO V      4     EE     21
   24  J.LACERDA C      2     EE     24
   25  J.LACERDA B      2     EE     25
   26 J.LACERDA A1      2     EE     26
   27 J.LACERDA A2      2     EE     27
   28     FIGUEIRA      2     EE     28
   35   URUGUAIANA      2     EE     35
   36  MARANHAO IV      4     EE     36
   42    FORTALEZA      3     EE     42
   43   TERMOBAHIA      3     EE     43
   44      ANGRA 3      1     NE     44
   46  N.VENECIA 2      4     EE     46
   47     TERMORIO      1     EE     47
   48    ARAUCARIA      2     EE     48
   49        VIANA      1     EE     49
   50   PIRAT.12 G      1     EE     50
   52  CAMPINA GDE      3     EE     52
   53     GLOBAL I      3     EE     53
   54 JUIZ DE FORA      1     EE     54
   55    GLOBAL II      3     EE     55
   57  MARACANAU I      3     EE     57
   58   TERMOCEARA      3     EE     58
   62   SEROPEDICA      1     EE     62
   63      IBIRITE      1     EE     63
   64       CANOAS      2     EE     64
   67      TERMONE      3     EE     67
   68  TRES LAGOAS      1     EE     68
   69      TERMOPB      3     EE     69
   70   GERAMAR II      4     EE     70
   73    GERAMAR I      4     EE     73
   83  VALE DO ACU      3     EE     83
   86 ST.CRUZ NOVA      1     EE     86
   90   TERMOMACAE      1     EE     90
   96      TERMOPE      3     EE     96
   97      CUBATAO      1     EE     97
   98 PERNAMBU_III      3     EE     98
  106 ERB CANDEIAS      3     EE    106
  107    PAMPA SUL      2     EX    107
  108     XAVANTES      1     EE    108
  109        ALTOS      3     EE    109
  110 N.PIRATINING      1     EE    110
  111      ARACATI      3     EE    111
  112      BAHIA I      3     EE    112
  113     BATURITE      3     EE    113
  116  PARNAIBA IV      4     EE    116
  117  CAMPO MAIOR      3     EE    117
  119      CAUCAIA      3     EE    119
  121        CRATO      3     EE    121
  125 ENGUIA PECEM      3     EE    125
  127       IGUATU      3     EE    127
  133   JUAZEIRO N      3     EE    133
  135    MARAMBAIA      3     EE    135
  137        GNA I      1     NE    137
  138      NAZARIA      3     EE    138
  140       MAUA 3      4     EE    140
  144    PETROLINA      3     EE    144
  146  STA VITORIA      1     EE    146
