ANO  USIN    JAN    FEV    MAR    ABR    MAI    JUN    JUL    AGO    SET    OUT    NOV    DEZ     NC
XXXX XXXX XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X    XXXX
2021    1  -0.22  -0.27  -0.24  -0.55  -0.53  -0.49  -0.50  -0.51  -0.37  -0.30  -0.23  -0.22    1      Usos_Consuntivos - CAMARGOS
2022    1  -0.23  -0.28  -0.25  -0.57  -0.55  -0.50  -0.51  -0.52  -0.38  -0.30  -0.24  -0.23    1   
2023    1  -0.23  -0.28  -0.25  -0.58  -0.56  -0.52  -0.52  -0.53  -0.39  -0.31  -0.24  -0.23    1   
2024    1  -0.24  -0.29  -0.26  -0.60  -0.58  -0.53  -0.53  -0.55  -0.40  -0.32  -0.25  -0.24    1   
2025    1  -0.24  -0.30  -0.27  -0.61  -0.59  -0.54  -0.55  -0.56  -0.41  -0.32  -0.25  -0.24    1   
2026    1  -0.25  -0.30  -0.27  -0.63  -0.61  -0.56  -0.56  -0.57  -0.42  -0.33  -0.26  -0.25    1   
2027    1  -0.25  -0.31  -0.28  -0.64  -0.62  -0.57  -0.57  -0.59  -0.43  -0.34  -0.27  -0.25    1   
2028    1  -0.26  -0.31  -0.29  -0.66  -0.64  -0.58  -0.59  -0.60  -0.44  -0.35  -0.27  -0.26    1   
2029    1  -0.27  -0.32  -0.29  -0.68  -0.65  -0.60  -0.60  -0.61  -0.45  -0.35  -0.28  -0.27    1   
2030    1  -0.27  -0.33  -0.30  -0.69  -0.67  -0.61  -0.61  -0.63  -0.45  -0.36  -0.28  -0.27    1   
2031    1  -0.28  -0.34  -0.31  -0.71  -0.68  -0.63  -0.63  -0.64  -0.46  -0.37  -0.29  -0.28    1   
2032    1  -0.28  -0.35  -0.31  -0.73  -0.70  -0.64  -0.64  -0.65  -0.47  -0.37  -0.30  -0.28    1   
2033    1  -0.29  -0.35  -0.32  -0.74  -0.72  -0.65  -0.65  -0.66  -0.48  -0.38  -0.30  -0.29    1   
2034    1  -0.30  -0.36  -0.32  -0.76  -0.73  -0.67  -0.67  -0.68  -0.49  -0.39  -0.31  -0.30    1   
2035    1  -0.30  -0.37  -0.33  -0.78  -0.75  -0.68  -0.68  -0.69  -0.49  -0.39  -0.31  -0.30    1   
