NUS  TIPO  VALORNEW MI ANOI MF ANOF  COMENTARIO
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
   4 POTEF   436.00  5 2021 12 2021  ST.CRUZ 34
   4 FCMAX     0.00  5 2021 12 2021  ST.CRUZ 34
   4 POTEF     0.00  1 2022          ST.CRUZ 34
   9 POTEF    25.00  5 2021 12 2021  R.SILVEIRA
   9 FCMAX     0.00  5 2021 12 2021  R.SILVEIRA
   9 POTEF     0.00  1 2022          R.SILVEIRA
  12 POTEF   529.20  5 2021 12 2021  CUIABA G CC
  12 FCMAX     0.00  5 2021 12 2021  CUIABA G CC
  12 POTEF     0.00  1 2022          CUIABA G CC
  12 FCMAX     0.00  1 2022          CUIABA G CC
  15 POTEF   204.00  5 2021 12 2025  LINHARES
  15 POTEF     0.00  1 2026          LINHARES
  21 POTEF     0.00  5 2021 12 2022  MARANHAO V
  21 FCMAX     0.00  5 2021 12 2022  MARANHAO V
  21 POTEF   337.60  1 2023          MARANHAO V
  21 FCMAX   100.00  1 2023          MARANHAO V
  24 POTEF   363.00  5 2021 12 2027  J.LACERDA C
  24 GTMIN   242.06  5 2021 12 2027  J.LACERDA C
  24 FCMAX    92.29  5 2021 12 2027  J.LACERDA C
  24 FCMAX     0.00  1 2028          J.LACERDA C
  24 POTEF     0.00  1 2028          J.LACERDA C
  25 POTEF   262.00  5 2021 12 2027  J.LACERDA B
  25 GTMIN   120.00  5 2021 12 2027  J.LACERDA B
  25 FCMAX    91.60  5 2021 12 2027  J.LACERDA B
  25 FCMAX     0.00  1 2028          J.LACERDA B
  25 POTEF     0.00  1 2028          J.LACERDA B
  26 POTEF   100.00  5 2021 12 2027  J.LACERDA A1
  26 FCMAX    90.00  5 2021 12 2027  J.LACERDA A1
  26 FCMAX     0.00  1 2028          J.LACERDA A1
  26 POTEF     0.00  1 2028          J.LACERDA A1
  27 POTEF   132.00  5 2021 12 2027  J.LACERDA A2
  27 GTMIN    33.00  5 2021 12 2027  J.LACERDA A2
  27 FCMAX    90.91  5 2021 12 2027  J.LACERDA A2
  27 FCMAX     0.00  1 2028          J.LACERDA A2
  27 POTEF     0.00  1 2028          J.LACERDA A2
  28 POTEF    20.00  5 2021 12 2027  FIGUEIRA
  28 GTMIN     8.08  5 2021 12 2027  FIGUEIRA
  28 FCMAX    90.00  5 2021 12 2027  FIGUEIRA
  28 FCMAX     0.00  1 2028          FIGUEIRA
  28 POTEF     0.00  1 2028          FIGUEIRA
  35 POTEF   639.90  5 2021 12 2021  URUGUAIANA
  35 FCMAX     0.00  5 2021 12 2021  URUGUAIANA
  35 POTEF     0.00  1 2022          URUGUAIANA
  36 POTEF     0.00  5 2021 12 2021  MARANHAO IV
  36 FCMAX     0.00  5 2021 12 2022  MARANHAO IV
  36 POTEF   337.60  1 2023          MARANHAO IV
  36 FCMAX   100.00  1 2023          MARANHAO IV
  42 POTEF   326.60  5 2021 12 2023  FORTALEZA
  42 GTMIN   223.00  5 2021 12 2023  FORTALEZA
  42 POTEF     0.00  1 2024          FORTALEZA
  42 GTMIN     0.00  1 2024          FORTALEZA
  43 POTEF   185.90  5 2021  2 2024  TERMOBAHIA
  43 FCMAX    85.50  5 2021  2 2024  TERMOBAHIA
  43 POTEF     0.00  3 2024          TERMOBAHIA
  43 FCMAX     0.00  3 2024          TERMOBAHIA
  44 POTEF  1405.00  1 2027          ANGRA 3
  44 GTMIN  1214.20  1 2027          ANGRA 3
  46 POTEF     0.00  5 2021 12 2022  N.VENECIA 2
  46 POTEF   178.21  1 2023 12 2024  N.VENECIA 2
  46 POTEF   270.47  1 2025          N.VENECIA 2
  46 FCMAX     0.00  5 2021 12 2022  N.VENECIA 2
  46 FCMAX   100.00  1 2025          N.VENECIA 2
  46 GTMIN    79.85  6 2025  6 2025  N.VENECIA 2
  46 GTMIN    81.09  7 2025 11 2025  N.VENECIA 2
  46 GTMIN    79.85  6 2026  6 2026  N.VENECIA 2
  46 GTMIN    81.09  7 2026 11 2026  N.VENECIA 2
  46 GTMIN    79.85  6 2027  6 2027  N.VENECIA 2
  46 GTMIN    81.09  7 2027 11 2027  N.VENECIA 2
  46 GTMIN    79.85  6 2028  6 2028  N.VENECIA 2
  46 GTMIN    81.09  7 2028 11 2028  N.VENECIA 2
  46 GTMIN    79.85  6 2029  6 2029  N.VENECIA 2
  46 GTMIN    81.09  7 2029 11 2029  N.VENECIA 2
  46 GTMIN    79.85  6 2030  6 2030  N.VENECIA 2
  46 GTMIN    81.09  7 2030 11 2030  N.VENECIA 2
  46 GTMIN    79.85  6 2031  6 2031  N.VENECIA 2
  46 GTMIN    81.09  7 2031 11 2031  N.VENECIA 2
  46 GTMIN    79.85  6 2032  6 2032  N.VENECIA 2
