UH   ME ANO   P  MWmedio
XXX  XX XXXX  X  XXXX.X
  1  05 2021  0  7.8
  2  05 2021  0  12.6
  4  05 2021  0  48.3
  6  05 2021  0  439.9
  7  05 2021  0  340.9
  8  05 2021  0  254.4
  9  05 2021  0  198.7
 10  05 2021  0  127.6
 11  05 2021  0  206.8
 12  05 2021  0  156.7
 14  05 2021  0  24.8
 15  05 2021  0  28.2
 16  05 2021  0  9.2
 17  05 2021  0  305.3
 18  05 2021  0  443.6
 20  05 2021  0  12.5
 21  05 2021  0  91.6
 24  05 2021  0  591.9
 25  05 2021  0  360.3
 26  05 2021  0  276.9
 27  05 2021  0  228.5
 28  05 2021  0  188.1
 29  05 2021  0  6.8
 30  05 2021  0  73.1
 31  05 2021  0  709
 32  05 2021  0  452.2
 33  05 2021  0  1165.3
 34  05 2021  0  1187.9
 37  05 2021  0  20.1
 38  05 2021  0  36.4
 39  05 2021  0  33.1
 40  05 2021  0  34.2
 42  05 2021  0  52.5
 43  05 2021  0  45.2
 45  05 2021  0  808.8
 46  05 2021  0  866.4
 47  05 2021  0  31
 48  05 2021  0  27.8
 49  05 2021  0  133.2
 50  05 2021  0  37.3
 51  05 2021  0  39.2
 52  05 2021  0  32.9
 57  05 2021  0  61
 61  05 2021  0  268.4
 62  05 2021  0  128.8
 63  05 2021  0  144.8
 66  05 2021  0  5848.2
 71  05 2021  0  1.5
 72  05 2021  0  1.9
 74  05 2021  0  4.9
 76  05 2021  0  6.4
 77  05 2021  0  40.1
 78  05 2021  0  131.9
 82  05 2021  0  236.4
 83  05 2021  0  66
 86  05 2021  0  190.2
 89  05 2021  0  6.6
 90  05 2021  0  0
 91  05 2021  0  286.1
 92  05 2021  0  202
 93  05 2021  0  54.1
 94  05 2021  0  8.1
 95  05 2021  0  1.2
103  05 2021  0  3
111  05 2021  0  87.6
112  05 2021  0  159.1
113  05 2021  0  35.3
114  05 2021  0  113.3
115  05 2021  0  19.1
119  05 2021  0  24.2
120  05 2021  0  21.1
121  05 2021  0  62.1
122  05 2021  0  30.5
123  05 2021  0  92.6
131  05 2021  0  284.7
132  05 2021  0  67.6
133  05 2021  0  40.7
135  05 2021  0  32.2
141  05 2021  0  35.9
143  05 2021  0  50.6
144  05 2021  0  56.7
148  05 2021  0  267.1
154  05 2021  0  91.7
155  05 2021  0  3.5
156  05 2021  0  325.1
162  05 2021  0  58.2
189  05 2021  0  70.2
190  05 2021  0  101
203  05 2021  0  4.3
227  05 2021  0  0
228  05 2021  0  69.3
229  05 2021  0  235.5
230  05 2021  0  107.5
249  05 2021  0  20.3
251  05 2021  0  764
252  05 2021  0  321.2
253  05 2021  0  186.4
257  05 2021  0  245.4
261  05 2021  0  335.5
267  05 2021  0  278.5
272  05 2021  0  21.3
275  05 2021  0  1998.1
277  05 2021  0  133.6
278  05 2021  0  60.2
290  05 2021  0  23
311  05 2021  0  16
312  05 2021  0  27.2
315  05 2021  0  21.9
176  05 2021  0  1524.1
169  05 2021  0  416.9
276  05 2021  0  30.3
279  05 2021  0  45.6
172  05 2021  0  682.8
178  05 2021  0  1908.4
999
