 NUMERO DE PATAMARES
 XX
  3
ANO   DURACAO MENSAL DOS PATAMARES DE CARGA
      JAN     FEV     MAR     ABR     MAI     JUN     JUL     AGO     SET     OUT     NOV     DEZ   
      X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX
2021  0.2151  0.2262  0.2473  0.2778  0.3387  0.3500  0.3548  0.3548  0.2917  0.2688  0.2222  0.2473  
      0.2594  0.2664  0.2796  0.2222  0.1949  0.1958  0.1962  0.1962  0.2250  0.2204  0.2639  0.2796  
      0.5255  0.5074  0.4731  0.5000  0.4664  0.4542  0.4490  0.4490  0.4833  0.5108  0.5139  0.4731  
2022  0.2258  0.2381  0.2366  0.2639  0.3548  0.3500  0.3387  0.3710  0.2917  0.2688  0.2222  0.2366  
      0.2661  0.2738  0.2728  0.2194  0.1962  0.1958  0.1949  0.1976  0.2250  0.2204  0.2639  0.2728  
      0.5081  0.4881  0.4906  0.5167  0.4490  0.4542  0.4664  0.4314  0.4833  0.5108  0.5139  0.4906  
2023  0.2366  0.2262  0.2473  0.2500  0.3548  0.3500  0.3387  0.3710  0.2778  0.2823  0.2222  0.2151  
      0.2728  0.2664  0.2796  0.2167  0.1962  0.1958  0.1949  0.1976  0.2222  0.2231  0.2639  0.2594  
      0.4906  0.5074  0.4731  0.5333  0.4490  0.4542  0.4664  0.4314  0.5000  0.4946  0.5139  0.5255  
2024  0.2366  0.2299  0.2151  0.3056  0.3387  0.3333  0.3710  0.3548  0.2917  0.3091  0.2222  0.2258  
      0.2728  0.2687  0.2594  0.2278  0.1949  0.1944  0.1976  0.1962  0.2250  0.2285  0.2639  0.2661  
      0.4906  0.5014  0.5255  0.4666  0.4664  0.4723  0.4314  0.4490  0.4833  0.4624  0.5139  0.5081  
2025  0.2366  0.2381  0.2151  0.2778  0.3387  0.3333  0.3710  0.3387  0.3056  0.3091  0.2222  0.2366  
      0.2728  0.2738  0.2594  0.2222  0.1949  0.1944  0.1976  0.1949  0.2278  0.2285  0.2639  0.2728  
      0.4906  0.4881  0.5255  0.5000  0.4664  0.4723  0.4314  0.4664  0.4666  0.4624  0.5139  0.4906  
2026  0.2366  0.2381  0.2151  0.2778  0.3387  0.3333  0.3710  0.3387  0.3056  0.3091  0.2222  0.2366  
      0.2728  0.2738  0.2594  0.2222  0.1949  0.1944  0.1976  0.1949  0.2278  0.2285  0.2639  0.2728  
      0.4906  0.4881  0.5255  0.5000  0.4664  0.4723  0.4314  0.4664  0.4666  0.4624  0.5139  0.4906  
2027  0.2366  0.2381  0.2151  0.2778  0.3387  0.3333  0.3710  0.3387  0.3056  0.3091  0.2222  0.2366  
      0.2728  0.2738  0.2594  0.2222  0.1949  0.1944  0.1976  0.1949  0.2278  0.2285  0.2639  0.2728  
      0.4906  0.4881  0.5255  0.5000  0.4664  0.4723  0.4314  0.4664  0.4666  0.4624  0.5139  0.4906  
2028  0.2366  0.2381  0.2151  0.2778  0.3387  0.3333  0.3710  0.3387  0.3056  0.3091  0.2222  0.2366  
      0.2728  0.2738  0.2594  0.2222  0.1949  0.1944  0.1976  0.1949  0.2278  0.2285  0.2639  0.2728  
      0.4906  0.4881  0.5255  0.5000  0.4664  0.4723  0.4314  0.4664  0.4666  0.4624  0.5139  0.4906  
2029  0.2366  0.2381  0.2151  0.2778  0.3387  0.3333  0.3710  0.3387  0.3056  0.3091  0.2222  0.2366  
      0.2728  0.2738  0.2594  0.2222  0.1949  0.1944  0.1976  0.1949  0.2278  0.2285  0.2639  0.2728  
      0.4906  0.4881  0.5255  0.5000  0.4664  0.4723  0.4314  0.4664  0.4666  0.4624  0.5139  0.4906  
2030  0.2366  0.2381  0.2151  0.2778  0.3387  0.3333  0.3710  0.3387  0.3056  0.3091  0.2222  0.2366  
      0.2728  0.2738  0.2594  0.2222  0.1949  0.1944  0.1976  0.1949  0.2278  0.2285  0.2639  0.2728  
      0.4906  0.4881  0.5255  0.5000  0.4664  0.4723  0.4314  0.4664  0.4666  0.4624  0.5139  0.4906  
2031  0.2366  0.2381  0.2151  0.2778  0.3387  0.3333  0.3710  0.3387  0.3056  0.3091  0.2222  0.2366  
      0.2728  0.2738  0.2594  0.2222  0.1949  0.1944  0.1976  0.1949  0.2278  0.2285  0.2639  0.2728  
      0.4906  0.4881  0.5255  0.5000  0.4664  0.4723  0.4314  0.4664  0.4666  0.4624  0.5139  0.4906  
2032  0.2366  0.2381  0.2151  0.2778  0.3387  0.3333  0.3710  0.3387  0.3056  0.3091  0.2222  0.2366  
      0.2728  0.2738  0.2594  0.2222  0.1949  0.1944  0.1976  0.1949  0.2278  0.2285  0.2639  0.2728  
      0.4906  0.4881  0.5255  0.5000  0.4664  0.4723  0.4314  0.4664  0.4666  0.4624  0.5139  0.4906  
2033  0.2366  0.2381  0.2151  0.2778  0.3387  0.3333  0.3710  0.3387  0.3056  0.3091  0.2222  0.2366  
      0.2728  0.2738  0.2594  0.2222  0.1949  0.1944  0.1976  0.1949  0.2278  0.2285  0.2639  0.2728  
      0.4906  0.4881  0.5255  0.5000  0.4664  0.4723  0.4314  0.4664  0.4666  0.4624  0.5139  0.4906  
2034  0.2366  0.2381  0.2151  0.2778  0.3387  0.3333  0.3710  0.3387  0.3056  0.3091  0.2222  0.2366  
      0.2728  0.2738  0.2594  0.2222  0.1949  0.1944  0.1976  0.1949  0.2278  0.2285  0.2639  0.2728  
